"Date(UTC)","Julian Date","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)"
"Aug 08 2008",2454687,30.94,9.15e-8,2.48e-8
"Aug 15 2008",2454694,38.34,1.07e-7,2.79e-8
"Aug 22 2008",2454701,19.67,7.87e-8,2.59e-8
"Aug 29 2008",2454708,39.25,1.26e-7,3.12e-8
"Sep 05 2008",2454715,15.77,7.28e-8,2.86e-8
"Sep 12 2008",2454722,22.45,8.24e-8,3.03e-8
"Sep 19 2008",2454729,12.71,4.76e-8,2.36e-8
"Sep 26 2008",2454736,27.65,9.28e-8,2.83e-8
"Oct 03 2008",2454743,26.91,8.99e-8,2.60e-8
"Oct 10 2008",2454750,18.71,8.14e-8,2.57e-8
"Oct 17 2008",2454757,6.44 ,4.41e-8,2.34e-8
"Oct 24 2008",2454764,36.73,1.17e-7,3.05e-8
"Oct 31 2008",2454771,9.86,6.06e-8,2.79e-8
"Nov 07 2008",2454777,6.48,5.79e-8,3.10e-8
"Nov 14 2008",2454784,8.36,5.73e-8,2.70e-8
"Nov 21 2008",2454791,54.24,1.55e-7,3.20e-8
"Nov 28 2008",2454798,4.98 ,4.59e-8,2.83e-8
"Dec 05 2008",2454806,19.06,7.29e-8,2.53e-8
"Dec 12 2008",2454813,21.93,7.31e-8,2.48e-8
"Dec 19 2008",2454820,4.37,3.50e-8,2.20e-8
"Dec 26 2008",2454827,3.25,8.08e-8,8.0e-8
"Jan 02 2009",2454833,47.02,1.84e-7,3.90e-8
"Jan 09 2009",2454840,20.98,9.66e-8,3.07e-8
"Jan 16 2009",2454847,44.4,1.37e-7,3.10e-8
"Jan 23 2009",2454854,39.54,1.30e-7,2.90e-8
"Jan 30 2009",2454861,59.71,1.76e-7,3.30e-8
"Feb 06 2009",2454868,21.92,8.03e-8,2.88e-8
"Feb 13 2009",2454875,39.22,1.54e-7,3.70e-8
"Feb 20 2009",2454882,14.53,8.79e-8,3.51e-8
"Feb 27 2009",2454889,83.11,2.12e-7,3.70e-8
"Mar 06 2009",2454898,47.77,1.60e-7,3.50e-8
"Mar 13 2009",2454905,0.06,7.26e-8,7e-8
"Mar 20 2009",2454912,6.83,4.41e-8,2.19e-8
"Mar 27 2009",2454919,19.39,7.77e-8,2.81e-8
"Apr 03 2009",2454926,30.37,1.13e-7,3.08e-8
"Apr 10 2009",2454933,193.82,4.02e-7,5.10e-8
"Apr 17 2009",2454940,102.1,2.57e-7,4.30e-8
"Apr 24 2009",2454947,12.93,7.00e-8,2.72e-8
"May 01 2009",2454954,5.8,4.39e-8,2.29e-8
"May 08 2009",2454961,7.42,3.68e-8,2.04e-8
"May 15 2009",2454968,5.69,3.45e-8,1.91e-8
"May 22 2009",2454975,22.62,8.57e-8,2.78e-8
"May 29 2009",2454982,2.1,6.79e-8,6e-8
"Jun 05 2009",2454988,9.64,7.79e-8,3.41e-8
"Jun 12 2009",2454995,131.72,3.03e-7,4.50e-8
"Jun 19 2009",2455002,58.14,1.70e-7,3.40e-8
"Jun 26 2009",2455009,122.16,2.38e-7,3.70e-8
"Jul 03 2009",2455017,38.17,1.05e-7,2.72e-8
"Jul 10 2009",2455024,34.6,1.05e-7,2.95e-8
"Jul 17 2009",2455031,38.47,1.22e-7,3.08e-8
"Jul 24 2009",2455038,9.79,6.05e-8,2.91e-8
"Jul 31 2009",2455045,9.44,7.17e-8,3.03e-8
"Aug 07 2009",2455051,15.92,8.09e-8,2.89e-8
"Aug 14 2009",2455058,14.92,6.88e-8,2.60e-8
"Aug 21 2009",2455065,0.11,5.09e-8,5e-8
"Aug 28 2009",2455072,13.4,6.16e-8,2.45e-8
"Sep 04 2009",2455079,45.81,1.33e-7,3.20e-8
"Sep 11 2009",2455086,61.27,1.70e-7,3.40e-8
"Sep 18 2009",2455093,51.33,1.51e-7,3.50e-8
"Sep 25 2009",2455100,20.79,1.14e-7,3.45e-8
"Oct 02 2009",2455107,49.4,1.45e-7,3.20e-8
"Oct 09 2009",2455114,88.11,1.85e-7,3.50e-8
"Oct 16 2009",2455121,38.7,1.32e-7,3.34e-8
"Oct 23 2009",2455128,117.84,2.39e-7,3.80e-8
"Oct 30 2009",2455135,78.05,1.96e-7,3.80e-8
"Nov 06 2009",2455142,61.12,1.35e-7,3.00e-8
"Nov 13 2009",2455149,94.37,2.40e-7,4.00e-8
"Nov 20 2009",2455156,73.02,1.81e-7,3.60e-8
"Nov 27 2009",2455163,62.09,1.56e-7,3.40e-8
"Dec 04 2009",2455170,74.4,1.96e-7,3.60e-8
"Dec 11 2009",2455177,42.66,1.38e-7,3.40e-8
"Dec 18 2009",2455184,39.56,1.29e-7,3.45e-8
"Dec 25 2009",2455191,49.09,1.35e-7,3.10e-8
"Jan 01 2010",2455197,153.69,3.26e-7,4.40e-8
"Jan 08 2010",2455204,110.11,2.40e-7,4.10e-8
"Jan 15 2010",2455211,38.5,1.33e-7,3.51e-8
"Jan 22 2010",2455218,230.7,4.09e-7,4.60e-8
"Jan 29 2010",2455225,94.29,2.37e-7,4.20e-8
"Feb 05 2010",2455232,40.07,1.73e-7,4.00e-8
"Feb 12 2010",2455239,40.53,1.38e-7,3.50e-8
"Feb 19 2010",2455246,103.28,2.18e-7,3.50e-8
"Feb 26 2010",2455253,103.14,2.61e-7,4.10e-8
"Mar 05 2010",2455262,75.29,2.28e-7,4.20e-8
"Mar 12 2010",2455269,105.92,2.05e-7,3.60e-8
"Mar 19 2010",2455276,194.5,3.19e-7,4.50e-8
"Mar 26 2010",2455283,22.72,9.46e-8,3.19e-8
"Apr 02 2010",2455290,61.3,2.00e-7,4.10e-8
"Apr 09 2010",2455297,115.88,1.97e-7,2.90e-8
"Apr 16 2010",2455304,39.69,1.39e-7,3.40e-8
"Apr 23 2010",2455311,106.75,2.43e-7,3.90e-8
"Apr 30 2010",2455318,33.68,1.18e-7,3.11e-8
"May 07 2010",2455325,176.2,3.13e-7,4.30e-8
"May 14 2010",2455332,193.71,3.51e-7,4.70e-8
"May 21 2010",2455339,131.74,3.02e-7,4.30e-8
"May 28 2010",2455346,146.76,3.02e-7,4.20e-8
"Jun 04 2010",2455353,208.33,3.38e-7,4.20e-8
"Jun 11 2010",2455360,130.22,2.86e-7,4.10e-8
"Jun 18 2010",2455367,56.8,1.63e-7,3.50e-8
"Jun 25 2010",2455374,97.07,2.16e-7,3.50e-8
"Jul 02 2010",2455381,17.02,6.56e-8,2.50e-8
"Jul 09 2010",2455388,43.49,1.40e-7,3.60e-8
"Jul 16 2010",2455395,43.31,1.40e-7,3.40e-8
"Jul 23 2010",2455402,17.87,8.20e-8,2.91e-8
"Jul 30 2010",2455409,80.95,2.14e-7,3.90e-8
"Aug 06 2010",2455416,34.11,1.51e-7,3.80e-8
"Aug 13 2010",2455423,53.28,1.45e-7,3.10e-8
"Aug 20 2010",2455430,41.72,1.34e-7,3.00e-8
"Aug 27 2010",2455437,187.58,3.64e-7,4.70e-8
"Sep 03 2010",2455443,47.96,1.59e-7,3.80e-8
"Sep 10 2010",2455450,22.06,1.05e-7,3.20e-8
"Sep 17 2010",2455457,32.86,1.03e-7,2.77e-8
"Sep 24 2010",2455464,9.04,4.80e-8,2.38e-8
"Oct 01 2010",2455471,2.72,7.46e-8,3e-8
"Oct 08 2010",2455478,15.75,6.54e-8,2.49e-8
"Oct 15 2010",2455485,32.19,1.14e-7,3.10e-8
"Oct 22 2010",2455492,10.29,5.63e-8,2.57e-8
"Oct 29 2010",2455499,34.41,1.21e-7,3.08e-8
"Nov 05 2010",2455506,8.21,6.56e-8,2.93e-8
"Nov 12 2010",2455513,7.13,4.96e-8,2.58e-8
"Nov 19 2010",2455520,19.84,9.84e-8,3.21e-8
"Nov 26 2010",2455527,16.35,6.19e-8,2.56e-8
"Dec 03 2010",2455534,56.68,1.35e-7,2.90e-8
"Dec 10 2010",2455541,30.9,9.94e-8,2.93e-8
"Dec 17 2010",2455548,30.9,1.36e-7,3.50e-8
"Dec 24 2010",2455555,20.67,9.69e-8,2.98e-8
"Dec 31 2010",2455562,7.9,7.86e-8,3.58e-8
"Jan 07 2011",2455569,9.14,6.52e-8,2.84e-8
"Jan 14 2011",2455576,13.01,5.77e-8,2.63e-8
"Jan 21 2011",2455583,26.51,1.06e-7,3.31e-8
"Jan 28 2011",2455590,3.13,9.78e-8,9e-8
"Feb 04 2011",2455596,25.98,1.06e-7,3.41e-8
"Feb 11 2011",2455603,79.3,2.40e-7,4.40e-8
"Feb 18 2011",2455610,21.9,1.10e-7,3.45e-8
"Feb 25 2011",2455617,75.08,1.93e-7,3.50e-8
"Mar 04 2011",2455627,18.61,8.84e-8,3.03e-8
"Mar 11 2011",2455634,96.29,2.36e-7,4.10e-8
"Mar 18 2011",2455641,112.74,2.33e-7,3.60e-8
"Mar 25 2011",2455648,141.25,1.77e-7,2.50e-8
"Apr 01 2011",2455654,83.9,2.19e-7,4.10e-8
"Apr 08 2011",2455661,43.61,1.37e-7,3.30e-8
"Apr 15 2011",2455668,34.9,1.35e-7,3.68e-8
"Apr 22 2011",2455675,33.65,1.14e-7,3.05e-8
"Apr 29 2011",2455682,47.9,1.77e-7,3.90e-8
"May 06 2011",2455689,88.99,2.29e-7,3.90e-8
"May 13 2011",2455696,216.88,3.92e-7,4.40e-8
"May 20 2011",2455703,505.43,6.59e-7,5.30e-8
"May 27 2011",2455710,913.67,9.60e-7,6.10e-8
"Jun 03 2011",2455717,373.44,5.06e-7,4.90e-8
"Jun 10 2011",2455724,349.76,5.05e-7,5.00e-8
"Jun 17 2011",2455731,249.34,4.32e-7,4.80e-8
"Jun 24 2011",2455738,399.54,5.81e-7,5.50e-8
"Jul 01 2011",2455745,312.3,4.33e-7,4.70e-8
"Jul 08 2011",2455752,640.82,6.89e-7,5.20e-8
"Jul 15 2011",2455759,314.17,4.82e-7,5.10e-8
"Jul 22 2011",2455766,336.46,5.59e-7,5.60e-8
"Jul 29 2011",2455773,251.51,4.37e-7,5.00e-8
"Aug 05 2011",2455780,202.37,3.06e-7,3.90e-8
"Aug 12 2011",2455787,149.55,2.81e-7,4.20e-8
"Aug 19 2011",2455794,178.48,3.21e-7,4.20e-8
"Aug 26 2011",2455801,288.6,4.61e-7,5.00e-8
"Sep 02 2011",2455807,171.79,4.24e-7,5.90e-8
"Sep 09 2011",2455814,38.84,1.59e-7,4.00e-8
"Sep 16 2011",2455821,77.05,2.24e-7,4.00e-8
"Sep 23 2011",2455828,161.27,2.99e-7,4.10e-8
"Sep 30 2011",2455835,190.88,3.35e-7,4.10e-8
"Oct 07 2011",2455843,121.26,2.57e-7,4.10e-8
"Oct 14 2011",2455850,221.35,4.12e-7,4.60e-8
"Oct 21 2011",2455857,124.83,2.98e-7,4.10e-8
"Oct 28 2011",2455864,355.18,5.81e-7,5.40e-8
"Nov 04 2011",2455870,425.45,6.86e-7,6.30e-8
"Nov 11 2011",2455877,247.5,4.32e-7,4.90e-8
"Nov 18 2011",2455884,105.9,2.37e-7,3.80e-8
"Nov 25 2011",2455891,245.96,4.03e-7,4.50e-8
"Dec 02 2011",2455899,360.07,5.67e-7,5.40e-8
"Dec 09 2011",2455906,396.53,5.33e-7,5.00e-8
"Dec 16 2011",2455913,109.73,2.57e-7,4.10e-8
"Dec 23 2011",2455920,273.5,5.20e-7,5.80e-8
"Dec 30 2011",2455927,195.3,3.81e-7,4.80e-8
"Jan 06 2012",2455933,99.4,2.58e-7,4.10e-8
"Jan 13 2012",2455940,130.13,3.04e-7,4.30e-8
"Jan 20 2012",2455947,105.2,2.73e-7,4.50e-8
"Jan 27 2012",2455954,284.81,4.21e-7,4.50e-8
"Feb 03 2012",2455960,230.77,3.66e-7,4.10e-8
"Feb 10 2012",2455967,174.61,3.43e-7,4.30e-8
"Feb 17 2012",2455974,111.34,2.67e-7,4.40e-8
"Feb 24 2012",2455981,364.93,5.71e-7,5.70e-8
"Mar 02 2012",2455990,587.4,6.99e-7,5.40e-8
"Mar 09 2012",2455997,185.72,3.00e-7,3.80e-8
"Mar 16 2012",2456004,191.26,4.03e-7,5.20e-8
"Mar 23 2012",2456011,354.23,5.16e-7,4.80e-8
"Mar 30 2012",2456018,391.84,5.49e-7,4.90e-8
"Apr 06 2012",2456024,610.16,7.89e-7,6.00e-8
"Apr 13 2012",2456031,371.24,6.03e-7,5.60e-8
"Apr 20 2012",2456038,127.73,2.89e-7,4.30e-8
"Apr 27 2012",2456045,65.77,1.91e-7,3.70e-8
"May 04 2012",2456053,258.38,4.78e-7,5.20e-8
"May 11 2012",2456060,474.38,6.46e-7,5.70e-8
"May 18 2012",2456067,317.19,4.64e-7,4.60e-8
"May 25 2012",2456074,328.68,4.58e-7,4.40e-8
"Jun 01 2012",2456080,119.26,2.74e-7,4.00e-8
"Jun 08 2012",2456087,592.94,7.13e-7,5.80e-8
"Jun 15 2012",2456094,151.59,2.65e-7,3.80e-8
"Jun 22 2012",2456101,84.3,2.27e-7,4.00e-8
"Jun 29 2012",2456108,212.85,3.71e-7,4.70e-8
"Jul 06 2012",2456116,139.54,3.36e-7,5.00e-8
"Jul 13 2012",2456123,117.74,2.56e-7,4.10e-8
"Jul 20 2012",2456130,498.14,7.05e-7,5.60e-8
"Jul 27 2012",2456137,217.31,3.86e-7,4.60e-8
"Aug 03 2012",2456143,67.63,2.15e-7,4.10e-8
"Aug 10 2012",2456150,66.95,1.76e-7,3.40e-8
"Aug 17 2012",2456157,142.39,2.97e-7,4.10e-8
"Aug 24 2012",2456164,797.26,9.82e-7,6.90e-8
"Aug 31 2012",2456171,163.8,2.85e-7,4.00e-8
"Sep 07 2012",2456177,71.4,2.00e-7,3.60e-8
"Sep 14 2012",2456184,43.57,1.49e-7,3.60e-8
"Sep 21 2012",2456191,21.27,9.26e-8,3.00e-8
"Sep 28 2012",2456198,21.51,6.30e-8,1.98e-8
"Oct 05 2012",2456206,35.08,1.16e-7,2.89e-8
"Oct 12 2012",2456213,8.1,6.56e-8,2.92e-8
"Oct 19 2012",2456220,30.61,1.23e-7,3.21e-8
"Oct 26 2012",2456227,70.79,1.94e-7,3.40e-8
"Nov 02 2012",2456233,8.2,5.07e-8,2.56e-8
"Nov 09 2012",2456240,10.16,7.95e-8,3.27e-8
"Nov 16 2012",2456247,13.9,6.81e-8,2.59e-8
"Nov 23 2012",2456254,14.19,7.12e-8,2.58e-8
"Nov 30 2012",2456261,111.95,2.20e-7,3.60e-8
"Dec 07 2012",2456269,309.43,5.10e-7,5.10e-8
"Dec 14 2012",2456276,8.39,6.08e-8,2.92e-8
"Dec 21 2012",2456283,31.75,1.13e-7,3.17e-8
"Dec 28 2012",2456290,6.81,5.39e-8,2.67e-8
"Jan 04 2013",2456296,481.29,7.71e-7,6.20e-8
"Jan 11 2013",2456303,441.52,6.35e-7,5.40e-8
"Jan 18 2013",2456310,18.79,9.83e-8,3.13e-8
"Jan 25 2013",2456317,24.49,1.06e-7,3.16e-8
"Feb 01 2013",2456324,5.66,3.94e-8,2.56e-8
"Feb 08 2013",2456331,10.28,4.60e-8,2.32e-8
"Feb 15 2013",2456338,4.63,4.33e-8,2.59e-8
"Feb 22 2013",2456345,7.51,5.45e-8,2.66e-8
"Mar 01 2013",2456354,31.17,1.27e-7,3.66e-8
"Mar 08 2013",2456361,16.01,7.03e-8,2.77e-8
"Mar 15 2013",2456368,10.68,5.20e-8,2.25e-8
"Mar 22 2013",2456375,11.93,7.67e-8,2.92e-8
"Mar 29 2013",2456382,6.83,5.28e-8,2.74e-8
"Apr 05 2013",2456389,5.34,3.37e-8,1.96e-8
"Apr 12 2013",2456396,75.17,1.77e-7,3.30e-8
"Apr 19 2013",2456403,0,4.25e-8,4e-8
"Apr 26 2013",2456410,43.87,1.34e-7,3.10e-8
"May 03 2013",2456417,21.28,9.50e-8,2.97e-8
"May 10 2013",2456424,22.64,7.77e-8,2.58e-8
"May 17 2013",2456431,113.16,1.77e-7,2.60e-8
"May 24 2013",2456438,49.75,1.47e-7,3.40e-8
"May 31 2013",2456445,47.25,1.59e-7,3.40e-8
"Jun 07 2013",2456451,49.51,1.61e-7,3.80e-8
"Jun 14 2013",2456458,24.03,1.39e-7,3.90e-8
"Jun 21 2013",2456465,142.92,2.53e-7,3.70e-8
"Jun 28 2013",2456472,92.59,2.15e-7,3.70e-8
"Jul 05 2013",2456480,71.49,2.06e-7,3.70e-8
"Jul 12 2013",2456487,84.44,2.37e-7,4.20e-8
"Jul 19 2013",2456494,76.73,2.29e-7,4.10e-8
"Jul 26 2013",2456501,52.55,1.36e-7,3.40e-8
"Aug 02 2013",2456507,81.01,2.52e-7,4.30e-8
"Aug 09 2013",2456514,217.53,4.20e-7,4.90e-8
"Aug 16 2013",2456521,163.21,2.51e-7,3.20e-8
"Aug 23 2013",2456528,317.24,4.15e-7,4.10e-8
"Aug 30 2013",2456535,44.68,2.19e-7,4.90e-8
"Sep 06 2013",2456542,59.34,1.82e-7,3.70e-8
"Sep 13 2013",2456549,84.65,2.16e-7,3.90e-8
"Sep 20 2013",2456556,180.64,3.63e-7,4.50e-8
"Sep 27 2013",2456563,306.75,5.22e-7,5.20e-8
"Oct 04 2013",2456570,180.39,3.34e-7,4.50e-8
"Oct 11 2013",2456577,309.07,4.47e-7,4.50e-8
"Oct 18 2013",2456584,307.05,4.57e-7,4.90e-8
"Oct 25 2013",2456591,73.7,3.39e-7,6.70e-8
"Nov 01 2013",2456598,116.74,3.09e-7,4.50e-8
"Nov 08 2013",2456605,144.54,2.82e-7,4.00e-8
"Nov 15 2013",2456612,84.84,2.45e-7,4.40e-8
"Nov 22 2013",2456619,450.96,6.72e-7,5.90e-8
"Nov 29 2013",2456626,150.18,3.28e-7,4.20e-8
"Dec 06 2013",2456633,152.8,5.44e-7,7.80e-8
"Dec 13 2013",2456640,10.12,2.09e-7,9.30e-8
"Dec 20 2013",2456647,48.39,2.02e-7,5.70e-8
"Dec 27 2013",2456654,32.32,2.09e-7,5.70e-8
"Jan 03 2014",2456660,6.61,1.17e-7,6.12e-8
"Jan 10 2014",2456667,60.59,3.69e-7,8.10e-8
"Jan 17 2014",2456674,25.67,1.70e-7,4.90e-8
"Jan 24 2014",2456681,56.95,1.22e-7,2.51e-8
"Jan 31 2014",2456688,117.96,1.64e-7,2.40e-8
"Feb 07 2014",2456695,25.87,1.58e-7,4.70e-8
"Feb 14 2014",2456702,72.51,2.01e-7,4.40e-8
"Feb 21 2014",2456709,37.15,2.15e-7,5.50e-8
"Feb 28 2014",2456716,35.18,3.60e-7,9.00e-8
"Mar 07 2014",2456725,45.54,2.58e-7,6.20e-8
"Mar 14 2014",2456732,25.8,1.05e-7,3.05e-8
"Mar 21 2014",2456739,43.45,1.21e-7,2.92e-8
"Mar 28 2014",2456746,49.44,2.31e-7,6.00e-8
"Apr 04 2014",2456753,6.01,7.00e-8,3.86e-8
"Apr 11 2014",2456760,6.02,4.54e-8,2.81e-8
"Apr 18 2014",2456767,4.3,5.09e-8,3.90e-8
"Apr 25 2014",2456774,52.4,1.39e-7,3.50e-8
"May 02 2014",2456781,28.71,1.16e-7,3.17e-8
"May 09 2014",2456788,44.83,1.24e-7,2.97e-8
"May 16 2014",2456795,24.16,7.25e-8,2.53e-8
"May 23 2014",2456802,14.6,1.02e-7,3.71e-8
"May 30 2014",2456809,29.34,1.29e-7,3.27e-8
"Jun 06 2014",2456816,14.69,8.58e-8,3.26e-8
"Jun 13 2014",2456823,23.6,1.34e-7,3.97e-8
"Jun 20 2014",2456830,27.38,1.01e-7,3.07e-8
"Jun 27 2014",2456837,7.28,4.90e-8,2.47e-8
"Jul 04 2014",2456844,11.28,4.70e-8,2.34e-8
"Jul 11 2014",2456851,2.6,1.12e-7,1.e-7
"Jul 18 2014",2456858,15.79,1.10e-7,4.24e-8
"Jul 25 2014",2456865,21.05,1.08e-7,3.61e-8
"Aug 01 2014",2456872,22.33,1.64e-7,5.00e-8
"Aug 08 2014",2456879,0.15,1.14e-7,1e-7
"Aug 15 2014",2456886,0,6.71e-8,6e-8
"Aug 22 2014",2456893,14.14,5.55e-8,2.57e-8
"Aug 29 2014",2456900,11.95,7.52e-8,3.09e-8
"Sep 05 2014",2456906,39.87,2.27e-7,6.30e-8
"Sep 12 2014",2456913,57.1,2.26e-7,4.90e-8
"Sep 19 2014",2456920,19.24,1.24e-7,4.58e-8
"Sep 26 2014",2456927,34.18,1.87e-7,5.20e-8
"Oct 03 2014",2456934,5.28,8.16e-8,5.08e-8
"Oct 10 2014",2456941,22.53,9.63e-8,3.78e-8
"Oct 17 2014",2456948,43.65,1.21e-7,2.87e-8
"Oct 24 2014",2456955,24.49,1.37e-7,4.24e-8
"Oct 31 2014",2456962,11.37,8.03e-8,3.88e-8
"Nov 07 2014",2456969,23.08,1.39e-7,4.19e-8
"Nov 14 2014",2456976,14.68,1.00e-7,4.22e-8
"Nov 21 2014",2456983,0,1.15e-7,1e-7
"Nov 28 2014",2456990,32.83,2.50e-7,6.90e-8
"Dec 05 2014",2456997,27.12,1.11e-7,3.48e-8
"Dec 12 2014",2457004,55.98,1.48e-7,3.20e-8
"Dec 19 2014",2457011,60.22,1.69e-7,3.50e-8
"Dec 26 2014",2457018,49.44,1.47e-7,3.40e-8
"Jan 02 2015",2457025,118.65,2.16e-7,3.50e-8
"Jan 09 2015",2457032,142.6,2.71e-7,3.90e-8
"Jan 16 2015",2457039,154.84,3.33e-7,4.90e-8
"Jan 23 2015",2457046,174.61,3.41e-7,4.60e-8
"Jan 30 2015",2457053,134.99,3.39e-7,4.60e-8
"Feb 06 2015",2457059,368.14,5.58e-7,5.30e-8
"Feb 13 2015",2457066,424.15,6.37e-7,5.70e-8
"Feb 20 2015",2457073,382.12,5.57e-7,5.10e-8
"Feb 27 2015",2457080,461.44,6.20e-7,5.50e-8
"Mar 06 2015",2457090,219.37,4.04e-7,4.90e-8
"Mar 13 2015",2457097,260.27,4.65e-7,5.10e-8
"Mar 20 2015",2457104,205.29,9.10e-7,1.14e-7
"Mar 27 2015",2457111,120.45,7.05e-7,1.24e-7
"Apr 03 2015",2457117,255.02,9.11e-7,1.01e-7
"Apr 10 2015",2457124,369.31,5.92e-7,5.70e-8
"Apr 17 2015",2457131,183.2,3.70e-7,4.40e-8
"Apr 24 2015",2457138,145.54,3.29e-7,4.30e-8
"May 01 2015",2457145,335.27,5.36e-7,5.20e-8
"May 08 2015",2457152,178.54,3.59e-7,4.60e-8
"May 15 2015",2457159,219.18,3.53e-7,4.20e-8
"May 22 2015",2457166,134.26,2.54e-7,3.90e-8
"May 29 2015",2457173,179.73,3.93e-7,5.00e-8
"Jun 05 2015",2457180,223.46,3.91e-7,4.30e-8
"Jun 12 2015",2457187,464.86,5.82e-7,5.00e-8
"Jun 19 2015",2457194,547.88,7.91e-7,6.70e-8
"Jun 26 2015",2457201,481.21,6.36e-7,5.70e-8
"Jul 03 2015",2457208,103.01,2.45e-7,4.00e-8
"Jul 10 2015",2457215,120.64,2.62e-7,4.10e-8
"Jul 17 2015",2457222,372.33,5.37e-7,5.00e-8
"Jul 24 2015",2457229,255.02,4.55e-7,5.20e-8
"Jul 31 2015",2457236,225.47,3.51e-7,4.40e-8
"Aug 07 2015",2457243,326.42,5.07e-7,5.00e-8
"Aug 14 2015",2457250,347.83,5.53e-7,5.30e-8
"Aug 21 2015",2457257,182.01,3.89e-7,5.00e-8
"Aug 28 2015",2457264,42.96,1.33e-7,3.20e-8
"Sep 04 2015",2457270,132.16,2.62e-7,3.90e-8
"Sep 11 2015",2457277,164.37,3.20e-7,4.40e-8
"Sep 18 2015",2457284,372.18,5.16e-7,4.90e-8
"Sep 25 2015",2457291,103.17,2.25e-7,3.70e-8
"Oct 02 2015",2457299,147.95,3.26e-7,4.60e-8
"Oct 09 2015",2457306,351.15,5.75e-7,5.40e-8
"Oct 16 2015",2457313,514.23,7.43e-7,6.00e-8
"Oct 23 2015",2457320,308.24,4.55e-7,4.80e-8
"Oct 30 2015",2457327,400.04,5.16e-7,4.80e-8
"Nov 06 2015",2457333,173.87,3.50e-7,4.50e-8
"Nov 13 2015",2457340,138.52,2.45e-7,3.70e-8
"Nov 20 2015",2457347,168.47,3.47e-7,4.40e-8
"Nov 27 2015",2457354,67.49,2.02e-7,4.10e-8
"Dec 04 2015",2457362,198.94,3.85e-7,4.70e-8
"Dec 11 2015",2457369,221.12,4.38e-7,5.10e-8
"Dec 18 2015",2457376,449.06,5.29e-7,4.80e-8
"Dec 25 2015",2457383,577.79,6.67e-7,5.50e-8
"Jan 01 2016",2457389,331.21,4.71e-7,4.70e-8
"Jan 08 2016",2457396,236.26,4.10e-7,4.80e-8
